Class,Result
person,1
skateboard,1
suitcase,-1
car,-1
umbrella,1
clock,1
toothbrush,1
cell phone,1
bed,1
spoon,-1
hair drier,-1
dining table,1
bottle,-1
tie,1
backpack,1
tv,1
handbag,1
chair,1
cake,-1
donut,-1
bowl,-1
teddy bear,1
cup,-1
oven,-1
dog,-1
bench,1
book,1
knife,-1
tennis racket,1
fork,-1
scissors,1
horse,-1
cow,-1
bicycle,-1
elephant,1
sheep,-1
refrigerator,-1
sports ball,1
traffic light,-1
airplane,1
sink,1
cat,-1
motorcycle,-1
snowboard,1
vase,1
skis,1
boat,-1
train,-1
remote,-1
kite,-1
apple,-1
sandwich,-1
potted plant,1
truck,-1
carrot,-1
orange,-1
banana,-1
pizza,-1
hot dog,-1
frisbee,1
surfboard,1
couch,-1
baseball glove,1
wine glass,-1
parking meter,-1
baseball bat,1
bear,-1
laptop,1
bird,-1
giraffe,-1
mouse,1
microwave,-1
toilet,1
fire hydrant,1
keyboard,1
broccoli,-1
stop sign,1
bus,1
toaster,-1
zebra,1
